Kmeans ID,Depth,Construction(us)
0,0,6469
1,1,557
2,2,148
3,3,52
4,2,105
5,2,76
6,2,47
7,2,83
8,2,68
9,1,1225
10,2,141
11,2,176
12,2,111
13,2,240
14,3,54
15,3,44
16,2,264
17,3,61
18,3,64
19,3,53
20,2,77
21,2,223
22,3,46
23,2,131
24,1,854
25,2,133
26,2,218
27,3,43
28,3,52
29,2,166
30,2,147
31,3,40
32,2,134
33,2,97
34,1,672
35,2,114
36,2,127
37,3,49
38,2,124
39,2,41
40,2,125
41,2,52
42,2,126
43,1,840
44,2,109
45,2,130
46,3,41
47,2,142
48,2,57
49,2,162
50,2,67
51,2,66
52,2,266
53,3,75
54,3,63
55,1,690
56,2,149
57,3,49
58,2,43
59,2,82
60,2,149
61,3,49
62,2,59
63,2,90
64,2,181
65,3,54
66,1,854
67,2,86
68,2,107
69,2,45
70,2,108
71,2,135
72,2,207
73,3,46
74,3,63
75,2,50
76,2,166
77,3,41
78,1,767
79,2,115
80,2,87
81,2,196
82,2,391
83,3,44
84,3,57
85,2,103
86,2,55
87,2,105
