Index,Model,Construction Time(us)
1,Cow,63885
2,Cow,64079
3,Cow,63750
4,Cow,63440
5,Cow,64461
6,Cow,64596
7,Cow,63602
8,Cow,61610
9,Cow,62275
10,Cow,64553
11,Cow,61959
12,Cow,62682
13,Cow,63394
14,Cow,63156
15,Cow,62698
16,Cow,66689
17,Cow,63490
18,Cow,63639
19,Cow,62081
20,Cow,62140
21,Cow,63054
22,Cow,62568
23,Cow,66605
24,Cow,63488
25,Cow,62359
26,Cow,62501
27,Cow,63262
28,Cow,64083
29,Cow,64109
30,Cow,62761
31,Cow,62116
32,Cow,62440
33,Cow,63939
34,Cow,62503
35,Cow,65829
36,Cow,63725
37,Cow,63079
38,Cow,62372
39,Cow,63299
40,Cow,62510
41,Cow,62365
42,Cow,64291
43,Cow,63058
44,Cow,63160
45,Cow,62062
46,Cow,62826
47,Cow,64345
48,Cow,62213
49,Cow,63238
50,Cow,61898
51,Cow,63279
52,Cow,64255
53,Cow,61520
54,Cow,61858
55,Cow,61829
56,Cow,61944
57,Cow,61288
58,Cow,62089
59,Cow,62805
60,Cow,63816
61,Cow,63015
62,Cow,64708
63,Cow,65228
64,Cow,64120
65,Cow,63047
66,Cow,62547
67,Cow,62682
68,Cow,63943
69,Cow,63688
70,Cow,63185
71,Cow,63813
72,Cow,64519
73,Cow,62931
74,Cow,63638
75,Cow,63124
76,Cow,63242
77,Cow,67308
78,Cow,64584
79,Cow,63014
80,Cow,64874
81,Cow,64163
82,Cow,63715
83,Cow,62557
84,Cow,64347
85,Cow,62194
86,Cow,64340
87,Cow,64561
88,Cow,63716
89,Cow,64571
90,Cow,65237
91,Cow,62806
92,Cow,62553
93,Cow,64274
94,Cow,61784
95,Cow,63433
96,Cow,62128
97,Cow,64148
98,Cow,62550
99,Cow,64456
100,Cow,67153
1,Dragon,4197268
2,Dragon,4253719
3,Dragon,4269394
4,Dragon,4280703
5,Dragon,4208664
6,Dragon,4285857
7,Dragon,4215079
8,Dragon,4267957
9,Dragon,4264393
10,Dragon,4238483
11,Dragon,4252561
12,Dragon,4254505
13,Dragon,4196923
14,Dragon,4175330
15,Dragon,4290769
16,Dragon,4234407
17,Dragon,4257523
18,Dragon,4370355
19,Dragon,4248077
20,Dragon,4178816
21,Dragon,4270920
22,Dragon,4272843
23,Dragon,4260966
24,Dragon,4214925
25,Dragon,4222598
26,Dragon,4233369
27,Dragon,4200947
28,Dragon,4221729
29,Dragon,4210896
30,Dragon,4261214
31,Dragon,4176448
32,Dragon,4219162
33,Dragon,8835288
34,Dragon,4316955
35,Dragon,4240256
36,Dragon,4262375
37,Dragon,4204654
38,Dragon,4291582
39,Dragon,4174081
40,Dragon,4263400
41,Dragon,4190660
42,Dragon,4260690
43,Dragon,4231949
44,Dragon,4256426
45,Dragon,4309341
46,Dragon,4218116
47,Dragon,4209336
48,Dragon,4251561
49,Dragon,4200399
50,Dragon,4235929
51,Dragon,4276829
52,Dragon,4295628
53,Dragon,4217747
54,Dragon,4204320
55,Dragon,4240190
56,Dragon,4306067
57,Dragon,4271016
58,Dragon,4266071
59,Dragon,4276796
60,Dragon,4236647
61,Dragon,4284492
62,Dragon,4229769
63,Dragon,4298365
64,Dragon,4224534
65,Dragon,4203757
66,Dragon,4262382
67,Dragon,4239890
68,Dragon,4232881
69,Dragon,4269648
70,Dragon,4211284
71,Dragon,4259690
72,Dragon,4232494
73,Dragon,4220454
74,Dragon,4251496
75,Dragon,4241249
76,Dragon,4166086
77,Dragon,4239771
78,Dragon,4205214
79,Dragon,4289664
80,Dragon,4276810
81,Dragon,4261059
82,Dragon,4737407
83,Dragon,4273918
84,Dragon,4203776
85,Dragon,4227585
86,Dragon,4221782
87,Dragon,4215301
88,Dragon,4192283
89,Dragon,4199714
90,Dragon,4249639
91,Dragon,4206588
92,Dragon,4225051
93,Dragon,4178830
94,Dragon,4210815
95,Dragon,4317121
96,Dragon,4206709
97,Dragon,4248955
98,Dragon,9879362
99,Dragon,4246806
100,Dragon,4238133
1,Face,1518155
2,Face,1517724
3,Face,1536348
4,Face,1527662
5,Face,1531940
6,Face,1525089
7,Face,1514957
8,Face,1528823
9,Face,1524365
10,Face,1516815
11,Face,1522536
12,Face,1515557
13,Face,1526287
14,Face,1529211
15,Face,1535254
16,Face,1530531
17,Face,1517255
18,Face,1514314
19,Face,1510478
20,Face,1523479
21,Face,1531277
22,Face,1520789
23,Face,1524490
24,Face,1520936
25,Face,1525921
26,Face,1528007
27,Face,1523388
28,Face,1538148
29,Face,1520294
30,Face,1518418
31,Face,1522999
32,Face,1532138
33,Face,1526594
34,Face,1525597
35,Face,1532256
36,Face,1530380
37,Face,1529635
38,Face,1510533
39,Face,1536854
40,Face,1519909
41,Face,1517418
42,Face,1533070
43,Face,1524969
44,Face,1519716
45,Face,1541282
46,Face,1516657
47,Face,1530879
48,Face,1516372
49,Face,1520740
50,Face,1515380
51,Face,1518657
52,Face,1533627
53,Face,1523589
54,Face,1523146
55,Face,1512199
56,Face,1515139
57,Face,1526439
58,Face,1527282
59,Face,1521367
60,Face,1527479
61,Face,1532407
62,Face,1525954
63,Face,1534416
64,Face,1528158
65,Face,1519090
66,Face,1517836
67,Face,1527876
68,Face,1524113
69,Face,1542669
70,Face,1531440
71,Face,1522432
72,Face,1520417
73,Face,1529346
74,Face,1517957
75,Face,1525137
76,Face,1525932
77,Face,1519168
78,Face,1521417
79,Face,1514033
80,Face,1520623
81,Face,1511569
82,Face,1510765
83,Face,1521312
84,Face,1521823
85,Face,1526905
86,Face,1513519
87,Face,1533735
88,Face,1520768
89,Face,1531334
90,Face,1524324
91,Face,1521866
92,Face,1547908
93,Face,1521659
94,Face,1529284
95,Face,1525496
96,Face,1521082
97,Face,1511886
98,Face,1533164
99,Face,1532079
100,Face,1526926
1,Car,534031
2,Car,541539
3,Car,541996
4,Car,539014
5,Car,535666
6,Car,543676
7,Car,532799
8,Car,533484
9,Car,531680
10,Car,546541
11,Car,534836
12,Car,537294
13,Car,529556
14,Car,531397
15,Car,537877
16,Car,529536
17,Car,535055
18,Car,541146
19,Car,536957
20,Car,528626
21,Car,529360
22,Car,529800
23,Car,541215
24,Car,534324
25,Car,533873
26,Car,531079
27,Car,532870
28,Car,530655
29,Car,533710
30,Car,526068
31,Car,535991
32,Car,539339
33,Car,539480
34,Car,533298
35,Car,533190
36,Car,533696
37,Car,534287
38,Car,541744
39,Car,532332
40,Car,534777
41,Car,537166
42,Car,536749
43,Car,555029
44,Car,529291
45,Car,529724
46,Car,531628
47,Car,534117
48,Car,533986
49,Car,533230
50,Car,541860
51,Car,538384
52,Car,527117
53,Car,550193
54,Car,528255
55,Car,524581
56,Car,545524
57,Car,534958
58,Car,529127
59,Car,533672
60,Car,530517
61,Car,531727
62,Car,532558
63,Car,535960
64,Car,538056
65,Car,535214
66,Car,527572
67,Car,528979
68,Car,538083
69,Car,530631
70,Car,546697
71,Car,529466
72,Car,532171
73,Car,547237
74,Car,533447
75,Car,536510
76,Car,532764
77,Car,536001
78,Car,535854
79,Car,537144
80,Car,531529
81,Car,530613
82,Car,535343
83,Car,535960
84,Car,534721
85,Car,532921
86,Car,530035
87,Car,552009
88,Car,537116
89,Car,540760
90,Car,527309
91,Car,542323
92,Car,534323
93,Car,538982
94,Car,534292
95,Car,532743
96,Car,530362
97,Car,532846
98,Car,530277
99,Car,527331
100,Car,530665
