Kmeans ID,Depth,Used Time Since Start(us)
0,0,126940
1,1,143006
2,2,143333
3,3,143476
4,2,148031
5,3,148596
6,4,148760
7,4,148969
8,3,149229
9,3,150597
10,4,151027
11,4,151141
12,4,151333
13,4,151441
14,4,151686
15,4,151834
16,3,152813
17,4,152995
18,4,153121
19,4,153261
20,4,153376
21,4,153583
22,4,153803
23,3,154337
24,4,154467
25,4,154625
26,3,155152
27,4,155340
28,3,155637
29,2,157145
30,3,157424
31,3,157563
32,3,157861
33,3,158105
34,3,158324
35,3,158452
36,3,158689
37,2,159270
38,3,159379
39,2,160189
40,3,160389
41,3,160612
42,3,160768
43,2,163481
44,3,163864
45,3,164185
46,3,164345
47,3,164717
48,3,165094
49,3,165359
50,3,165643
51,3,166214
52,4,166324
53,2,167134
54,3,167290
55,3,167411
56,3,167613
57,3,167781
58,2,172482
59,3,172842
60,3,173816
61,4,174000
62,4,174160
63,4,174348
64,4,174499
65,3,174939
66,4,175054
67,3,175727
68,4,175855
69,4,175977
70,4,176091
71,3,176744
72,4,176857
73,3,177769
74,4,178033
75,4,178141
76,4,178268
77,4,178426
78,3,178758
79,4,178867
80,3,179265
81,1,207325
82,2,208611
83,3,208824
84,3,208976
85,3,209194
86,3,209581
87,3,209703
88,2,211678
89,3,211967
90,3,212114
91,3,212295
92,3,212568
93,3,212889
94,3,213101
95,3,213442
96,3,213724
97,2,214634
98,3,214910
99,3,215063
100,3,215185
101,3,215313
102,2,221503
103,3,222953
104,4,223410
105,4,223540
106,4,223672
107,4,224029
108,4,224219
109,3,225272
110,4,225621
111,5,225737
112,4,225964
113,4,226106
114,3,226608
115,3,227528
116,4,227753
117,4,227946
118,4,228077
119,4,228201
120,3,228879
121,4,229037
122,4,229147
123,4,229265
124,3,229872
125,4,229987
126,4,230144
127,3,230619
128,4,230734
129,4,230842
130,4,230962
131,3,231548
132,4,231683
133,4,231810
134,2,239357
135,3,239961
136,4,240090
137,4,240317
138,3,241972
139,4,242177
140,4,242448
141,5,242579
142,4,243029
143,4,243234
144,4,243396
145,4,243617
146,3,244014
147,3,244627
148,4,244736
149,4,244843
150,3,246548
151,4,247026
152,5,247180
153,4,247327
154,4,247586
155,4,247812
156,4,247969
157,4,248309
158,3,249609
159,4,249795
160,4,250161
161,4,250268
162,4,250425
163,4,250537
164,4,250729
165,3,251381
166,4,251600
167,4,251799
168,3,252460
169,4,252604
170,4,252715
171,4,252837
172,2,257123
173,3,258819
174,4,259198
175,4,259500
176,4,259694
177,4,259876
178,4,260113
179,4,260255
180,4,260491
181,3,260621
182,3,261484
183,4,261604
184,4,261863
185,4,262004
186,4,262171
187,3,262308
188,3,262557
189,3,263024
190,4,263136
191,3,263492
192,3,263940
193,4,264049
194,4,264203
195,2,267792
196,3,268518
197,4,268632
198,4,268825
199,4,268931
200,4,269040
201,3,270259
202,4,270650
203,4,270899
204,4,271053
205,4,271250
206,3,271745
207,4,271901
208,3,272287
209,4,272406
210,3,272755
211,3,273164
212,4,273272
213,2,274730
214,3,275176
215,4,275289
216,3,275422
217,3,275543
218,3,275760
219,3,275919
220,3,276177
221,1,287973
222,2,290107
223,3,290411
224,3,290811
225,4,290935
226,3,291218
227,3,291386
228,3,291531
229,3,291741
230,3,292019
231,3,292409
232,2,295056
233,3,296295
234,4,296517
235,4,296734
236,4,296922
237,4,297048
238,4,297156
239,4,297447
240,4,297553
241,3,297799
242,3,297954
243,3,298243
244,3,298543
245,3,298817
246,2,299761
247,3,300229
248,4,300341
249,3,300510
250,2,301416
251,3,301577
252,3,301712
253,3,301878
254,3,302047
255,3,302167
256,3,302274
257,2,303507
258,3,303707
259,3,303926
260,3,304093
261,3,304222
262,3,304357
263,3,304488
264,3,304666
265,2,305638
266,3,305824
267,3,306001
268,3,306169
269,3,306316
270,3,306438
271,2,307224
272,3,307379
273,3,307499
274,3,307670
275,2,309616
276,3,310199
277,4,310328
278,3,310568
279,3,310884
280,3,311055
281,3,311174
282,3,311376
283,3,311651
284,1,325948
285,2,328368
286,3,328587
287,3,329027
288,3,329284
289,3,329447
290,3,329825
291,4,329941
292,3,330620
293,4,330747
294,4,330870
295,4,331002
296,3,331293
297,2,334570
298,3,335200
299,4,335307
300,4,335426
301,4,335546
302,3,335968
303,4,336085
304,3,336342
305,3,336984
306,4,337121
307,4,337246
308,4,337390
309,3,337826
310,3,337984
311,3,338309
312,3,338763
313,4,338870
314,2,339965
315,3,340261
316,3,340380
317,3,340654
318,3,340894
319,2,341895
320,3,342256
321,4,342373
322,3,342519
323,3,342635
324,3,342792
325,3,342989
326,2,344581
327,3,344802
328,3,345017
329,3,345300
330,3,345477
331,3,345604
332,3,345736
333,3,345988
334,3,346223
335,2,349004
336,3,349581
337,3,350136
338,4,350265
339,4,350393
340,3,350766
341,4,350903
342,3,351093
343,3,351501
344,3,351731
345,3,352014
346,3,352259
347,2,353798
348,3,354051
349,3,354209
350,3,354525
351,3,354734
352,3,354877
353,3,355061
354,3,355279
355,2,355767
356,3,355891
357,3,356057
358,1,365016
359,2,367684
360,3,368002
361,3,368336
362,4,368449
363,3,368602
364,3,368925
365,3,369142
366,3,369308
367,3,369794
368,4,369974
369,3,370657
370,4,370925
371,4,371049
372,2,372996
373,3,373292
374,3,373532
375,3,373732
376,3,373960
377,3,374066
378,3,374482
379,3,374850
380,3,375022
381,2,376027
382,3,376150
383,3,376339
384,3,376561
385,3,376763
386,3,376872
387,3,376981
388,2,377372
389,3,377498
390,2,378158
391,3,378403
392,3,378524
393,2,379080
394,2,379972
395,3,380124
396,3,380262
397,3,380386
398,3,380607
399,3,380716
400,2,381604
401,3,381778
402,3,381960
403,3,382280
404,1,414472
405,2,420552
406,3,421898
407,4,422203
408,4,422438
409,4,422618
