Kmeans ID,Depth,Construction(us)
0,0,125972
1,1,21473
2,2,5547
3,3,645
4,4,129
5,4,127
6,3,1335
7,4,160
8,4,133
9,4,297
10,4,306
11,4,271
12,3,743
13,4,149
14,4,151
15,3,438
16,3,1000
17,4,122
18,4,112
19,4,324
20,4,127
21,4,139
22,3,250
23,3,525
24,3,721
25,4,138
26,4,110
27,4,189
28,2,3661
29,3,627
30,4,129
31,4,115
32,3,391
33,4,108
34,3,397
35,4,127
36,3,295
37,3,488
38,4,172
39,3,442
40,3,231
41,3,852
42,4,322
43,4,153
44,4,128
45,2,1459
46,3,279
47,4,108
48,3,218
49,3,161
50,3,227
51,3,120
52,3,338
53,2,1549
54,3,151
55,3,451
56,4,121
57,3,139
58,3,168
59,3,180
60,3,239
61,3,187
62,2,4086
63,3,177
64,3,159
65,3,444
66,3,775
67,4,123
68,4,126
69,4,212
70,3,1099
71,4,280
72,4,259
73,4,171
74,4,197
75,3,350
76,3,1024
77,4,216
78,4,138
79,4,141
80,4,153
81,4,157
82,2,1046
83,3,196
84,3,327
85,3,160
86,2,2638
87,3,734
88,4,186
89,4,143
90,4,157
91,3,146
92,3,363
93,3,245
94,3,376
95,4,108
96,3,739
97,4,141
98,4,140
99,4,108
100,2,1442
101,3,201
102,3,166
103,3,499
104,4,144
105,4,178
106,3,108
107,3,110
108,3,155
109,3,154
110,1,12062
111,2,2581
112,3,359
113,3,257
114,3,181
115,3,289
116,3,571
117,4,154
118,3,259
119,3,177
120,3,563
121,4,174
122,2,2502
123,3,317
124,3,480
125,4,109
126,3,278
127,3,364
128,4,146
129,3,183
130,3,140
131,3,723
132,4,156
133,4,120
134,4,108
135,4,144
136,2,755
137,3,168
138,3,123
139,3,128
140,2,884
141,3,119
142,3,127
143,3,149
144,3,139
145,3,161
146,2,1707
147,3,309
148,3,369
149,3,132
150,3,141
151,3,250
152,3,117
153,3,292
154,3,149
155,2,762
156,3,173
157,3,160
158,3,166
159,2,395
160,3,167
161,2,2425
162,3,292
163,3,232
164,3,403
165,3,563
166,4,115
167,3,290
168,3,289
169,3,302
170,1,36688
171,2,4566
172,3,894
173,4,181
174,4,149
175,4,246
176,3,521
177,4,152
178,3,616
179,4,181
180,4,152
181,3,688
182,4,118
183,4,204
184,3,329
185,4,133
186,3,345
187,3,698
188,4,126
189,4,121
190,3,554
191,2,10848
192,3,1123
193,4,198
194,4,206
195,4,140
196,4,231
197,4,203
198,3,2625
199,4,651
200,5,111
201,5,133
202,5,111
203,4,218
204,4,236
205,4,325
206,4,321
207,4,199
208,4,301
209,4,403
210,3,1267
211,4,223
212,4,288
213,4,108
214,4,232
215,4,206
216,3,1028
217,4,114
218,4,263
219,4,201
220,4,113
221,4,202
222,3,2374
223,4,581
224,5,158
225,5,112
226,4,325
227,4,211
228,4,330
229,4,476
230,5,173
231,4,188
232,4,132
233,4,157
234,3,152
235,3,1878
236,4,192
237,4,320
238,4,456
239,5,136
240,4,327
241,4,325
242,4,186
243,4,109
244,3,510
245,4,137
246,2,4978
247,3,886
248,4,146
249,4,109
250,4,188
251,4,200
252,3,966
253,4,124
254,4,122
255,4,156
256,4,163
257,4,207
258,3,455
259,4,112
260,3,444
261,4,109
262,3,338
263,3,330
264,3,314
265,3,1271
266,4,264
267,4,282
268,4,145
269,4,218
270,4,119
271,2,2014
272,3,354
273,3,471
274,4,115
275,3,159
276,3,187
277,3,347
278,3,131
279,3,280
280,3,119
281,2,5380
282,3,717
283,4,186
284,4,148
285,3,677
286,4,174
287,4,138
288,4,118
