Kmeans ID,Depth,Construction(us)
0,0,20206
1,1,1446
2,2,175
3,2,246
4,2,169
5,2,161
6,2,107
7,2,149
8,2,154
9,1,3628
10,2,1165
11,3,192
12,3,118
13,3,137
14,3,111
15,3,201
16,3,374
17,2,436
18,3,116
19,2,278
20,2,612
21,3,225
22,2,322
23,2,450
24,3,114
25,2,323
26,1,3728
27,2,621
28,3,115
29,2,902
30,3,172
31,3,171
32,3,142
33,3,172
34,2,386
35,2,432
36,2,508
37,2,269
38,2,181
39,2,424
40,1,1373
41,2,124
42,2,278
43,2,174
44,2,151
45,2,222
46,2,297
47,1,2792
48,2,458
49,2,705
50,3,221
51,3,140
52,2,249
53,2,551
54,3,123
55,2,262
56,2,273
57,2,152
58,2,171
59,1,1746
60,2,416
61,3,125
62,2,343
63,2,265
64,2,256
65,2,128
66,2,224
67,1,1988
68,2,246
69,2,221
70,2,627
71,3,144
72,3,165
73,2,155
74,2,345
75,2,190
76,2,156
77,1,2658
78,2,798
79,3,178
80,3,136
81,3,190
82,2,309
83,2,721
84,3,258
85,3,111
86,3,109
87,2,202
88,2,159
89,2,230
90,2,157
