Kmeans ID,Depth,Used Time Since Start(us)
0,0,20441
1,1,23628
2,2,24062
3,2,24239
4,2,24582
5,2,24935
6,2,25481
7,3,25608
8,3,25766
9,2,26288
10,3,26405
11,2,27077
12,3,27233
13,3,27376
14,3,27521
15,1,29957
16,2,30885
17,3,31001
18,3,31199
19,3,31423
20,3,31628
21,2,31819
22,2,31994
23,2,32432
24,2,32677
25,2,32903
26,2,33074
27,1,37796
28,2,38024
29,2,39710
30,3,39941
31,3,40298
32,4,40415
33,3,40839
34,3,40976
35,3,41174
36,3,41296
37,3,41451
38,2,41935
39,3,42099
40,2,42576
41,3,42687
42,2,43310
43,3,43481
44,3,43587
45,2,44210
46,3,44333
47,3,44472
48,2,44866
49,2,45057
50,1,46177
51,2,46285
52,2,46428
53,2,46612
54,2,46919
55,2,47053
56,2,47261
57,1,48491
58,2,48769
59,2,48894
60,2,49180
61,2,49554
62,3,49664
63,1,52461
64,2,52846
65,2,53092
66,2,53396
67,3,53508
68,2,54096
69,3,54254
70,3,54367
71,2,54521
72,2,54747
73,2,55233
74,2,55620
75,3,55769
76,1,58554
77,2,59110
78,3,59251
79,2,60125
80,3,60267
81,3,60387
82,3,60508
83,3,60643
84,3,60843
85,2,61017
86,2,61282
87,2,61743
88,2,61897
89,2,62049
90,2,62212
91,1,63264
92,2,63525
93,2,63688
94,2,63882
95,2,64148
