Kmeans ID,Depth,Used Time Since Start(us)
0,0,811934
1,1,1079268
2,2,1118600
3,3,1124304
4,4,1124741
5,4,1125358
6,5,1125474
7,5,1125618
8,5,1125730
9,4,1126349
10,5,1126523
11,4,1126775
12,4,1127677
13,5,1127857
14,5,1128006
15,5,1128124
16,5,1128289
17,4,1129426
18,5,1129571
19,5,1129800
20,5,1129990
21,5,1130270
22,4,1130949
23,5,1131094
24,5,1131203
25,5,1131342
26,4,1132403
27,5,1132606
28,5,1132761
29,5,1132883
30,5,1132998
31,5,1133171
32,5,1133347
33,3,1135369
34,4,1135553
35,4,1135662
36,4,1136249
37,5,1136356
38,4,1136799
39,4,1137172
40,4,1137416
41,3,1141925
42,4,1142555
43,5,1142689
44,5,1142803
45,4,1143298
46,5,1143415
47,4,1143901
48,5,1144011
49,4,1145339
50,5,1145680
51,5,1145968
52,5,1146252
53,5,1146421
54,4,1146584
55,4,1147386
56,5,1147570
57,5,1147692
58,5,1147821
59,5,1147964
60,4,1148166
61,4,1148544
62,3,1156109
63,4,1156810
64,5,1156998
65,5,1157116
66,5,1157276
67,4,1157803
68,5,1158024
69,5,1158166
70,4,1158702
71,5,1158814
72,5,1158948
73,5,1159087
74,4,1159405
75,4,1161436
76,5,1161706
77,5,1162260
78,6,1162378
79,6,1162489
80,6,1162593
81,5,1162780
82,5,1163347
83,6,1163465
84,5,1163712
85,5,1163848
86,4,1165325
87,5,1165878
88,6,1166012
89,5,1166282
90,5,1166438
91,5,1166561
92,5,1166761
93,4,1167017
94,4,1168679
95,5,1169034
96,6,1169149
97,5,1169383
98,5,1169672
99,5,1169807
100,5,1169939
101,5,1170281
102,6,1170387
103,3,1175512
104,4,1176275
105,5,1176490
106,5,1176662
107,4,1177514
108,5,1177716
109,5,1177864
110,5,1178010
111,5,1178196
112,4,1178514
113,4,1179259
114,5,1179468
115,5,1179607
116,5,1179755
117,4,1180247
118,5,1180432
119,4,1180690
120,4,1181404
121,5,1181601
122,5,1181728
123,5,1181840
124,4,1182788
125,5,1182946
126,5,1183200
127,5,1183381
128,3,1186575
129,4,1187643
130,5,1187786
131,5,1187902
132,5,1188063
133,5,1188216
134,5,1188527
135,4,1188804
136,4,1189589
137,5,1189774
138,5,1189930
139,5,1190070
140,4,1190209
141,4,1190333
142,4,1190840
143,5,1190964
144,4,1191200
145,3,1200848
146,4,1201837
147,5,1201976
148,5,1202143
149,5,1202325
150,5,1202512
151,5,1202689
152,4,1203141
153,4,1205577
154,5,1206092
155,6,1206204
156,5,1206638
157,6,1206749
158,5,1206975
159,5,1207143
160,5,1207622
161,5,1207822
162,5,1208223
163,6,1208329
164,4,1208593
165,4,1209458
166,5,1209677
167,5,1209806
168,5,1209945
169,5,1210151
170,4,1211549
171,5,1211839
172,5,1212077
173,5,1212244
174,5,1212375
175,5,1212537
176,5,1212752
177,5,1212907
178,4,1215657
179,5,1215940
180,5,1216399
181,5,1216745
182,5,1217127
183,5,1217425
184,5,1217669
185,5,1218160
186,6,1218314
187,5,1218610
188,4,1219037
189,5,1219146
190,3,1221130
191,4,1221420
192,4,1221939
193,5,1222057
194,4,1222226
195,4,1222427
196,4,1222673
197,4,1223051
198,4,1223167
199,2,1257239
200,3,1268288
201,4,1270085
202,5,1270469
203,6,1270592
204,5,1270965
205,5,1271175
206,5,1271452
207,5,1271689
208,5,1271931
209,4,1273632
210,5,1273833
211,5,1274306
212,6,1274435
213,5,1274561
214,5,1274749
215,5,1275254
216,6,1275360
217,5,1275466
218,4,1276134
219,5,1276277
220,4,1277494
221,5,1277786
222,5,1278118
223,5,1278226
224,5,1278365
225,5,1278472
226,4,1279974
227,5,1280274
228,5,1280807
229,6,1280913
230,5,1281159
231,5,1281324
232,4,1282341
233,5,1282521
234,5,1282683
235,5,1282887
236,5,1283090
237,5,1283232
238,4,1284561
239,5,1284720
240,5,1284995
241,5,1285120
242,5,1285277
243,5,1285622
244,5,1285791
245,4,1287453
246,5,1287659
247,5,1287951
248,5,1288084
249,5,1288451
250,5,1288595
251,5,1288837
252,5,1289048
253,3,1291416
254,4,1291706
255,4,1291984
256,4,1292096
257,4,1292415
258,4,1293082
259,5,1293227
260,5,1293358
261,5,1293482
262,5,1293600
263,4,1293952
264,4,1294159
265,4,1294334
266,3,1301052
267,4,1301690
268,5,1301863
269,5,1302017
270,4,1303323
271,5,1303596
272,5,1303793
273,5,1304044
274,5,1304249
275,5,1304399
276,5,1304540
277,4,1305291
278,5,1305424
279,5,1305552
280,5,1305677
281,5,1305813
282,4,1307595
283,5,1307842
284,5,1308010
285,5,1308515
286,6,1308641
287,6,1308754
288,5,1309058
289,5,1309296
290,5,1309513
291,4,1309886
292,4,1310938
293,5,1311172
294,5,1311316
295,5,1311473
296,5,1311683
297,5,1311810
298,4,1312334
299,5,1312447
300,5,1312569
301,4,1312809
302,3,1315805
303,4,1316207
304,5,1316334
305,4,1317149
306,5,1317352
307,5,1317483
308,5,1317668
309,4,1318306
310,5,1318439
311,5,1318598
312,4,1319076
313,5,1319210
314,5,1319320
315,4,1319434
316,4,1319707
317,4,1319938
318,3,1324906
