Kmeans ID,Depth,Used Time Since Start(us)
0,0,326476
1,1,368519
2,2,376715
3,3,378218
4,4,378354
5,4,378462
6,4,378576
7,4,378757
8,4,379050
9,4,379409
10,4,379689
11,3,381269
12,4,381741
13,5,381851
14,4,382115
15,4,382226
16,4,382405
17,4,382575
18,4,382897
19,3,383712
20,4,383842
21,4,384061
22,4,384179
23,3,384788
24,4,385006
25,4,385137
26,3,386060
27,4,386404
28,4,386647
29,4,386807
30,3,387378
31,4,387640
32,4,387787
33,3,389305
34,4,389637
35,4,389769
36,4,390054
37,4,390168
38,4,390374
39,4,390730
40,3,391409
41,4,391520
42,4,391687
43,4,391810
44,2,398786
45,3,400077
46,4,400395
47,4,400509
48,4,400717
49,4,400824
50,4,400957
51,4,401074
52,4,401399
53,3,401923
54,4,402058
55,4,402173
56,3,403042
57,4,403266
58,4,403396
59,4,403504
60,4,403678
61,3,404435
62,4,404675
63,4,404812
64,3,405906
65,4,406195
66,4,406421
67,4,406547
68,4,406732
69,4,406846
70,3,407871
71,4,408003
72,4,408210
73,4,408320
74,4,408522
75,4,408630
76,4,408781
77,3,409264
78,4,409400
79,3,410422
80,4,410539
81,4,410746
82,4,410900
83,4,411140
84,2,415337
85,3,416166
86,4,416306
87,4,416456
88,4,416600
89,4,416710
90,3,417397
91,4,417520
92,4,417648
93,4,417756
94,3,418633
95,4,418775
96,4,418895
97,4,419038
98,4,419176
99,4,419329
100,3,419696
101,4,419804
102,4,419948
103,3,420177
104,3,420671
105,3,420940
106,3,421413
107,4,421563
108,2,425440
109,3,425957
110,4,426065
111,4,426197
112,3,426867
113,4,426998
114,4,427137
115,4,427251
116,3,427733
117,4,427859
118,3,428433
119,4,428599
120,4,428731
121,3,429132
122,4,429248
123,3,429464
124,3,429739
125,3,430546
126,4,430769
127,4,430936
128,4,431072
129,2,434042
130,3,434393
131,3,435190
132,4,435398
133,4,435562
134,4,435712
135,3,436324
136,4,436457
137,4,436601
138,3,436713
139,3,436992
140,3,437414
141,3,437829
142,4,437936
143,2,443943
144,3,445562
145,4,445826
146,4,445992
147,4,446102
148,4,446282
149,4,446488
150,4,446891
151,4,447096
152,3,448138
153,4,448278
154,4,448449
155,4,448667
156,4,448800
157,4,449025
158,3,449430
159,4,449541
160,3,450582
161,4,450810
162,4,451007
163,4,451149
164,4,451312
165,4,451477
166,3,452576
167,4,452780
168,4,452923
169,4,453044
170,4,453238
171,4,453391
172,4,453518
173,4,453643
174,3,454073
175,3,454485
176,2,458768
177,3,459422
178,4,459533
179,4,459661
180,4,459769
181,3,460562
182,4,460748
183,4,460881
184,4,461065
185,3,461458
186,3,461762
187,3,462003
188,3,463182
189,4,463415
190,4,463586
191,4,463770
192,4,463913
193,4,464161
194,3,464870
195,4,465008
196,4,465194
197,4,465308
198,2,470541
199,3,472189
200,4,472454
201,4,472906
202,5,473019
203,4,473146
204,4,473331
205,4,473438
206,4,473832
207,5,473954
208,3,474711
209,4,474920
210,4,475034
211,4,475174
212,3,476098
213,4,476280
214,4,476471
215,4,476646
216,4,476757
217,3,477134
218,3,477504
219,3,478013
220,4,478144
221,3,478453
222,3,478860
223,4,478986
224,4,479093
225,1,526764
226,2,535243
227,3,536769
228,4,537074
229,4,537440
230,4,537642
231,4,537753
232,4,537958
233,4,538132
234,3,539222
235,4,539421
236,4,539531
237,4,539684
238,4,539834
239,4,539972
240,4,540101
241,4,540212
242,4,540348
243,3,541359
244,4,541515
245,4,541690
246,4,541816
247,4,541987
248,4,542128
249,4,542255
250,3,543025
251,4,543144
252,4,543282
253,4,543436
254,4,543603
255,3,544566
256,4,544828
257,4,544981
258,4,545232
259,4,545425
260,3,546192
261,4,546342
262,4,546460
263,4,546591
264,4,546716
265,4,546825
266,3,547677
267,4,547836
268,4,547966
269,4,548128
270,4,548262
271,3,549793
272,4,549999
273,4,550368
274,4,550511
275,4,550688
276,4,550930
277,4,551064
278,4,551345
279,2,555516
280,3,556518
281,4,556701
282,4,556979
283,4,557090
284,3,557773
285,4,557913
286,4,558083
287,4,558193
288,3,558466
289,3,559159
290,4,559384
291,3,560191
292,4,560400
293,4,560544
294,4,560651
295,4,560764
296,4,560973
297,3,561329
298,3,561506
299,3,561729
300,2,566755
301,3,567338
302,4,567492
303,3,568221
304,4,568337
305,4,568490
306,4,568674
307,3,569516
308,4,569706
309,4,569846
310,4,569999
311,4,570132
312,3,570648
313,3,571689
314,4,571924
315,4,572096
316,4,572274
317,4,572394
318,4,572545
319,3,573227
320,4,573352
321,4,573503
322,4,573626
323,4,573734
324,3,574076
325,3,574404
326,2,582413
327,3,583961
328,4,584177
329,4,584447
330,4,584594
331,4,584881
332,4,585149
333,4,585380
334,3,586779
335,4,587061
336,4,587169
337,4,587428
338,4,587606
339,4,587743
340,4,588020
341,3,589080
342,4,589215
343,4,589462
344,4,589614
345,4,589775
346,4,589956
347,3,591080
348,4,591396
349,4,591707
350,4,591818
351,4,591929
352,4,592043
353,3,592458
354,3,593056
355,4,593179
356,4,593319
357,3,593864
358,4,593976
359,3,595399
360,4,595700
361,4,595995
362,4,596177
363,4,596357
364,4,596618
365,2,600098
366,3,601196
367,4,601455
368,4,601666
369,4,601857
370,4,602071
371,3,602287
372,3,602681
373,3,602926
374,3,603192
375,3,603765
376,4,603925
377,3,604085
378,3,604672
379,4,604785
380,2,610145
381,3,611165
382,4,611365
383,4,611581
384,4,611940
385,4,612059
386,3,612736
387,4,612863
388,4,613068
389,4,613185
390,3,613452
391,3,613855
392,3,614948
393,4,615174
394,4,615342
395,4,615524
396,4,615704
397,4,615846
398,4,615979
399,4,616087
400,3,616383
401,3,616655
402,3,618011
403,4,618460
404,4,618704
405,4,618880
406,4,619082
407,2,626527
408,3,627899
409,4,628240
410,4,628375
411,4,628701
412,4,628873
413,4,629020
414,3,630500
415,4,630667
416,4,631005
417,5,631126
418,4,631263
419,4,631391
420,4,631680
421,4,631961
422,3,632366
423,4,632473
424,4,632601
425,3,633163
426,4,633328
427,3,634006
428,4,634151
429,4,634316
430,4,634432
431,3,635305
432,4,635468
433,4,635602
434,4,635760
435,4,635918
436,3,636599
437,4,636760
438,3,638257
439,4,638596
440,4,638792
441,4,639027
442,4,639194
443,4,639353
444,4,639562
445,4,639693
446,2,645165
447,3,646748
448,4,646861
449,4,646999
450,4,647360
451,4,647480
452,4,647734
453,4,647895
454,4,648210
455,4,648351
456,3,648902
457,4,649044
458,3,649363
459,3,650259
460,4,650404
461,4,650521
462,4,650692
463,4,650809
464,4,650979
465,3,651968
466,4,652148
467,4,652355
468,4,652472
469,4,652585
470,4,652749
471,3,653272
472,4,653403
473,4,653511
474,3,653891
475,3,654172
476,1,687466
477,2,694237
478,3,695638
479,4,695782
480,4,695911
481,4,696085
482,4,696315
483,4,696560
484,4,696730
485,4,696882
486,4,697047
487,3,697639
488,4,697774
489,4,697889
490,4,698000
491,3,698691
492,4,698866
493,4,698987
494,4,699104
495,3,699375
496,3,700401
497,4,700586
498,4,700782
499,4,700893
500,4,701089
501,4,701242
502,3,702089
503,4,702353
504,4,702497
505,4,702604
506,4,702809
507,3,703452
508,4,703563
509,4,703692
510,4,703815
511,4,703961
512,3,705348
513,4,705582
514,4,705747
515,4,705997
516,4,706178
517,4,706386
518,4,706592
519,2,708364
520,3,708604
521,3,708797
522,3,708942
523,3,709417
524,4,709526
525,3,709786
526,3,709964
527,3,710233
528,2,714883
529,3,715817
530,4,715938
531,4,716126
532,4,716264
533,4,716390
534,4,716602
535,3,717609
536,4,717829
537,4,717949
538,4,718077
539,4,718274
540,4,718494
541,3,718860
542,4,718968
543,3,719363
544,3,720004
545,4,720120
546,4,720255
547,4,720367
548,3,720879
549,3,721228
550,3,721744
551,4,721860
552,2,728124
553,3,729211
554,4,729445
555,4,729623
556,4,729756
557,4,729883
558,4,730145
559,3,731528
560,4,731754
561,4,732108
562,4,732269
563,4,732507
564,4,732706
565,3,733640
566,4,733769
567,4,733886
568,4,734089
569,4,734205
570,4,734367
571,3,734714
572,4,734824
573,3,735465
574,4,735642
575,4,735804
576,3,736484
577,4,736672
578,4,736787
579,3,737472
580,4,737594
581,4,737731
582,4,737885
583,4,738055
584,3,738613
585,4,738767
586,2,740730
587,3,741099
588,4,741229
589,4,741346
590,3,741701
591,3,741964
592,3,742087
593,3,742474
594,3,742609
595,3,742829
596,3,742981
597,2,743823
598,3,744078
599,3,744216
600,3,744333
601,3,744561
602,2,749052
603,3,749676
604,4,749783
605,3,750300
606,3,751046
607,4,751265
608,4,751390
609,4,751529
610,4,751651
611,3,752732
612,4,752949
613,4,753120
614,4,753308
615,4,753457
616,4,753598
617,3,754201
618,4,754335
619,4,754468
620,3,754875
621,3,755205
622,3,755456
623,2,761770
624,3,762992
625,4,763283
626,4,763390
627,4,763606
628,4,763726
629,4,763975
630,4,764092
631,3,765191
632,4,765316
633,4,765481
634,4,765593
635,4,765862
636,4,766086
637,3,766662
638,4,766797
639,4,766952
640,3,767677
641,4,767794
642,4,767922
643,4,768050
644,3,769487
645,4,769726
646,4,769936
647,4,770105
648,4,770248
649,4,770392
650,4,770501
651,4,770764
652,4,770951
653,3,771249
654,3,771925
655,4,772101
656,3,772459
657,1,822296
658,2,836232
659,3,839444
660,4,839868
661,5,840020
662,4,840833
663,5,841044
664,5,841211
665,4,841696
666,4,841970
667,4,842515
668,5,842652
669,5,842817
670,4,843077
671,4,843363
672,5,843474
673,4,843629
674,3,847090
675,4,847664
676,5,847790
677,4,848778
678,5,848916
679,5,849080
680,5,849203
681,5,849357
682,5,849504
683,5,849633
684,5,849754
685,4,849864
686,4,850569
687,5,850731
688,5,850839
689,5,851030
690,4,851139
691,4,851649
692,4,851916
693,5,852052
694,4,852269
695,3,853224
696,4,853419
697,4,853641
698,4,853810
699,4,853954
700,3,855926
701,4,856231
702,4,856579
703,5,856712
704,4,856836
705,4,857078
706,4,857358
707,4,857596
708,5,857711
709,4,858070
710,3,858701
711,4,858877
712,4,858986
713,3,860407
714,4,860815
715,4,861070
716,4,861283
717,4,861546
718,4,861672
719,3,863256
720,4,863592
721,4,863719
722,4,863911
723,4,864065
724,4,864198
725,4,864462
726,4,864624
727,4,864862
728,3,865684
729,4,865896
730,4,866052
731,4,866168
732,4,866374
733,2,873015
734,3,873500
735,4,873614
736,3,874981
737,4,875252
738,4,875569
739,4,875747
740,4,875886
741,4,876114
742,4,876225
743,3,876557
744,3,877511
745,4,877654
746,4,877811
747,4,877934
748,4,878064
749,4,878244
750,3,880011
751,4,880413
752,4,880697
753,4,880981
754,4,881368
755,4,881484
756,4,881651
757,3,882248
758,3,883182
759,4,883455
760,4,883592
761,4,883779
762,4,883909
763,3,884159
764,2,885917
765,3,886122
