Kmeans ID,Depth,Construction(us)
0,0,324913
1,1,38681
2,2,8556
3,3,840
4,4,186
5,4,108
6,4,159
7,4,181
8,3,1553
9,4,300
10,4,119
11,4,257
12,4,133
13,4,161
14,4,434
15,5,147
16,3,876
17,4,163
18,4,221
19,4,167
20,3,1527
21,4,389
22,4,198
23,4,331
24,4,152
25,4,170
26,4,273
27,3,1243
28,4,402
29,5,160
30,4,122
31,4,242
32,4,268
33,4,137
34,3,862
35,4,240
36,4,128
37,4,131
38,4,112
39,3,1110
40,4,211
41,4,215
42,4,130
43,4,213
44,4,119
45,3,604
46,4,141
47,2,1491
48,3,217
49,3,166
50,3,159
51,3,164
52,3,150
53,3,133
54,3,378
55,3,155
56,2,2682
57,3,712
58,4,125
59,4,130
60,4,116
61,4,123
62,3,390
63,4,117
64,3,207
65,3,245
66,3,243
67,3,365
68,3,432
69,3,141
70,2,5104
71,3,800
72,4,152
73,4,192
74,4,111
75,4,120
76,3,789
77,4,191
78,4,141
79,4,121
80,3,1042
81,4,222
82,4,230
83,4,154
84,4,153
85,4,111
86,4,127
87,3,756
88,4,197
89,4,127
90,4,161
91,3,348
92,3,429
93,4,107
94,3,724
95,4,143
96,4,176
97,3,195
98,2,5886
99,3,1603
100,4,280
101,4,308
102,4,136
103,4,315
104,5,113
105,4,201
106,4,182
107,4,154
108,3,786
109,4,165
110,4,225
111,4,160
112,3,1135
113,4,148
114,4,168
115,4,238
116,4,145
117,4,222
118,4,108
119,3,169
120,3,453
121,4,117
122,3,422
123,3,1102
124,4,446
125,5,125
126,5,151
127,4,197
128,4,163
129,3,301
130,2,1754
131,3,365
132,3,218
133,3,457
134,3,243
135,3,157
136,3,170
137,2,8538
138,3,1346
139,4,173
140,4,175
141,4,168
142,4,291
143,4,195
144,4,232
145,3,1133
146,4,128
147,4,167
148,4,222
149,4,161
150,4,111
151,4,207
152,3,471
153,3,1372
154,4,280
155,4,179
156,4,339
157,4,131
158,4,261
159,3,876
160,4,228
161,4,129
162,4,153
163,4,171
164,3,879
165,4,151
166,4,195
167,4,145
168,3,1949
169,4,227
170,4,341
171,5,107
172,4,313
173,4,332
174,4,244
175,4,332
176,3,538
177,4,120
178,4,145
179,2,4328
180,3,686
181,4,108
182,4,125
183,3,744
184,4,192
185,4,126
186,4,150
187,3,453
188,4,114
189,3,472
190,4,113
191,4,116
192,3,533
193,4,111
194,3,484
195,4,134
196,3,382
197,3,656
198,4,121
199,4,135
200,4,123
201,1,54525
202,2,11477
203,3,2996
204,4,489
205,5,114
206,4,786
207,5,232
208,5,124
209,5,150
210,4,192
211,4,225
212,4,505
213,4,330
214,4,165
215,4,325
216,3,698
217,4,247
218,3,140
219,3,1260
220,4,120
221,4,207
222,4,193
223,4,171
224,4,182
225,4,137
226,4,176
227,3,3434
228,4,646
229,5,116
230,5,123
231,4,496
232,5,160
233,4,350
234,5,116
235,4,231
236,4,581
237,4,339
238,4,259
239,5,111
240,4,573
241,5,150
242,5,113
243,5,119
244,3,945
245,4,139
246,4,155
247,4,216
248,4,152
249,3,1097
250,4,291
251,4,108
252,4,273
253,4,224
254,3,1000
255,4,118
256,4,226
257,4,124
258,4,278
259,2,9028
260,3,523
261,3,753
262,4,139
263,4,114
264,4,149
265,3,1998
266,4,252
267,5,120
268,4,178
269,4,233
270,4,208
271,4,199
272,4,210
273,4,455
274,4,287
275,3,1093
276,4,206
277,4,163
278,4,156
279,4,174
280,4,175
281,3,1270
282,4,285
283,4,121
284,4,195
285,4,294
286,4,106
287,3,881
288,4,151
289,4,114
290,4,164
291,4,273
292,3,1227
293,4,220
294,4,265
295,4,221
296,4,151
297,4,151
298,3,1230
299,4,195
300,4,243
301,4,133
302,4,175
303,4,283
304,2,6780
305,3,1540
306,4,284
307,4,369
308,4,190
309,4,256
310,4,264
311,4,145
312,3,1468
313,4,304
314,4,387
315,4,118
316,4,238
317,4,171
318,4,186
319,3,298
320,3,175
321,3,1336
322,4,252
323,4,145
324,4,237
325,4,144
326,4,112
327,4,203
328,4,212
329,3,735
330,4,144
331,4,148
332,4,121
333,4,108
334,3,457
335,4,108
336,3,780
337,4,181
338,4,120
339,4,143
340,4,136
341,4,108
342,2,10440
343,3,2401
344,4,616
345,5,133
346,5,154
347,4,469
348,5,114
349,4,346
350,5,115
351,4,123
352,4,211
353,4,458
354,5,136
355,4,119
356,3,1119
357,4,328
358,4,157
359,4,112
360,4,187
361,3,2102
362,4,258
363,4,332
364,4,247
365,4,299
366,4,146
367,4,307
368,4,283
369,4,266
370,3,1539
371,4,437
372,5,119
373,4,318
374,4,129
375,4,199
376,4,219
377,3,503
378,3,219
379,3,768
380,4,125
381,4,211
382,4,219
383,3,1891
384,4,574
385,5,143
386,5,133
387,4,169
388,4,163
389,4,114
390,4,292
391,4,170
392,4,163
393,4,269
394,2,5157
395,3,1116
396,4,241
397,4,131
398,4,201
399,4,235
400,3,703
401,4,171
402,4,108
403,4,128
404,4,131
405,3,758
406,4,111
407,4,181
408,4,137
409,3,874
410,4,137
411,4,132
412,4,119
413,4,126
414,4,106
415,3,579
416,4,155
417,3,387
418,3,282
419,3,558
420,4,165
421,4,127
422,2,4754
423,3,1496
424,4,302
425,4,195
426,4,168
427,4,198
428,4,182
429,4,320
430,3,1115
431,4,167
432,4,113
433,4,217
434,4,122
435,4,156
436,4,281
437,3,370
438,4,111
439,3,231
440,3,569
441,4,147
442,4,108
443,3,309
444,3,621
445,4,155
446,4,113
447,2,4435
448,3,680
449,4,140
450,4,144
451,3,980
452,4,121
453,4,229
454,4,140
455,4,201
456,3,675
457,4,197
458,4,124
459,4,117
460,3,374
461,4,144
462,3,511
463,3,637
464,4,108
465,4,110
466,3,219
467,3,444
468,2,2375
469,3,689
470,4,168
471,4,108
472,4,132
473,3,181
474,3,261
475,3,687
476,4,176
477,4,138
478,3,270
479,3,166
480,1,32382
481,2,7226
482,3,1368
483,4,233
484,4,296
485,4,127
486,4,161
487,4,226
488,4,274
489,3,1411
490,4,480
491,5,115
492,4,111
493,4,328
494,4,277
495,3,618
496,4,132
497,4,120
498,3,1314
499,4,261
500,4,232
501,4,271
502,4,135
503,4,120
504,4,194
505,3,626
506,4,120
507,3,312
508,3,1376
509,4,242
510,4,206
511,4,154
512,4,194
513,4,200
514,4,174
515,4,156
516,3,319
517,2,1774
518,3,213
519,3,555
520,4,134
521,4,133
522,4,138
523,3,138
524,3,217
525,3,158
526,3,208
527,3,216
528,2,4866
529,3,430
530,3,616
531,4,157
532,4,156
533,3,933
534,4,171
535,4,148
536,4,185
537,4,246
538,3,939
539,4,138
540,4,156
541,4,137
542,4,124
543,4,226
544,3,296
545,3,461
546,3,273
547,3,992
548,4,161
549,4,126
550,4,151
551,4,144
552,4,137
553,4,200
554,2,5741
555,3,786
556,4,152
557,4,144
558,4,125
559,4,115
560,4,114
561,3,1503
562,4,671
563,5,173
564,5,117
565,4,200
566,4,206
567,4,157
568,3,420
569,4,122
570,3,977
571,4,135
572,4,232
573,4,271
574,3,827
575,4,171
576,4,121
577,4,282
578,4,137
579,3,195
580,3,447
581,4,137
582,3,679
583,4,117
584,4,114
585,4,151
586,4,157
587,2,3966
588,3,451
589,3,131
590,3,672
591,4,138
592,4,134
593,4,168
594,3,1375
595,4,250
596,4,237
597,4,141
598,4,261
599,4,125
600,4,228
601,4,110
602,3,632
603,4,108
604,4,210
605,3,130
606,3,530
607,2,4288
608,3,711
609,4,129
610,4,148
611,4,135
612,4,111
613,3,748
614,4,171
615,4,114
616,4,172
617,4,147
618,3,1082
619,4,156
620,4,170
621,4,262
622,4,167
623,4,137
624,3,355
625,3,566
626,4,112
627,3,271
628,3,256
629,3,358
630,4,121
631,2,2068
632,3,446
633,4,139
634,4,121
635,3,330
636,3,387
637,3,336
638,3,359
639,2,2160
640,3,466
641,4,108
642,4,122
643,3,356
644,3,226
645,3,208
646,3,276
647,3,303
648,3,291
649,1,23698
650,2,3997
651,3,571
652,3,570
653,4,140
654,4,156
655,3,757
656,4,125
657,4,114
658,4,133
659,4,142
660,4,133
661,3,358
662,4,118
663,3,443
664,4,140
665,3,603
666,4,134
667,4,130
668,4,139
669,3,209
670,3,545
671,4,124
672,4,117
673,2,5331
674,3,762
675,4,138
676,4,198
677,3,1701
678,4,280
679,4,265
680,4,191
681,4,207
682,4,122
683,4,132
684,4,262
685,4,268
686,3,577
687,4,111
688,4,116
689,4,153
690,3,239
691,3,574
692,4,142
693,4,120
694,3,543
695,4,119
696,3,621
697,4,117
698,4,111
699,4,125
700,3,379
701,2,3226
702,3,814
703,4,138
704,4,113
705,4,117
706,4,107
707,3,729
708,4,224
709,4,151
710,4,137
711,3,112
712,3,298
713,3,231
714,3,399
715,3,241
716,3,478
717,4,147
718,2,2348
719,3,354
720,3,342
721,3,256
722,3,362
723,3,195
724,3,336
725,3,193
726,3,348
727,2,4374
728,3,663
729,4,127
730,4,125
731,4,140
732,3,493
733,4,128
734,4,136
735,3,723
736,4,113
737,4,149
738,4,122
739,3,438
740,3,339
741,3,548
742,4,111
743,4,116
744,3,632
745,4,114
746,4,125
747,3,600
748,4,121
749,4,176
750,2,889
751,3,125
752,3,112
753,3,205
754,3,162
755,2,394
756,3,114
757,2,3026
758,3,427
759,3,533
760,4,135
761,4,152
762,3,557
763,4,117
764,3,146
765,3,202
766,3,318
767,3,249
768,3,666
769,4,195
770,4,112
771,1,76790
772,2,5534
773,3,996
774,4,152
775,4,130
776,4,114
777,4,113
778,4,220
779,3,1583
780,4,275
781,4,527
782,5,155
783,5,110
784,4,128
785,4,296
786,4,188
787,3,892
788,4,159
789,4,200
790,4,124
791,4,117
792,4,124
793,3,445
794,3,613
795,4,137
796,4,177
797,4,125
798,3,265
799,3,309
800,3,499
801,2,15613
802,3,3682
803,4,197
804,4,1182
805,5,177
806,5,124
807,5,110
808,5,189
809,5,292
810,5,251
811,4,625
812,5,110
813,5,129
814,5,142
815,4,726
816,5,163
817,5,139
818,4,166
819,4,223
820,4,145
821,4,442
822,5,109
823,3,1968
824,4,288
825,4,305
826,4,137
827,4,199
828,4,416
829,4,237
830,4,332
831,3,1406
832,4,284
833,4,136
834,4,203
835,4,234
836,4,145
837,4,247
838,3,1107
839,4,270
840,4,171
841,4,189
842,4,166
843,3,2591
844,4,471
845,5,120
846,4,254
847,4,460
848,5,115
849,4,211
850,4,491
851,5,112
852,4,415
853,4,130
854,4,188
855,3,705
856,4,162
857,4,111
858,4,156
859,3,1408
860,4,286
861,4,289
862,4,143
863,4,177
864,4,114
865,4,317
866,3,2855
867,4,517
868,5,119
869,5,111
870,4,186
871,4,489
872,5,110
873,4,161
874,4,478
875,5,135
876,5,111
877,4,226
878,4,278
879,4,513
880,2,8562
881,3,1564
882,4,354
883,4,137
884,4,267
885,4,180
886,4,125
887,4,186
888,4,295
889,3,1478
890,4,263
891,4,127
892,4,196
893,4,259
894,4,119
895,4,119
896,4,121
897,4,289
898,3,1182
899,4,265
900,4,176
901,4,324
902,4,124
903,3,384
904,3,518
905,4,142
906,4,113
907,4,117
908,3,1027
909,4,345
910,4,238
911,4,124
912,4,125
913,3,1172
914,4,307
915,4,205
916,4,221
917,4,130
918,3,1251
919,4,192
920,4,260
921,4,172
922,4,149
923,4,292
924,2,12200
925,3,1511
926,4,237
927,4,233
928,4,325
929,4,122
930,4,178
931,4,172
932,4,134
933,4,134
934,3,1223
935,4,196
936,4,253
937,4,116
938,4,156
939,4,243
940,3,1595
941,4,396
942,4,200
943,4,276
944,4,159
945,4,118
946,4,136
947,4,273
948,3,716
949,4,153
950,4,108
951,4,146
952,4,164
953,3,1732
954,4,378
955,4,154
956,4,268
957,4,169
958,4,286
959,4,191
960,4,335
961,3,1761
962,4,489
963,4,235
964,4,222
965,4,152
966,4,262
967,4,280
968,3,2030
969,4,484
970,4,456
971,4,289
972,4,551
973,5,119
974,5,123
975,3,1598
976,4,396
977,4,190
978,4,209
979,4,284
980,4,300
981,4,131
982,2,10944
983,3,2092
984,4,362
985,4,256
986,4,376
987,5,129
988,4,139
989,4,316
990,4,318
991,4,146
992,4,189
993,3,2201
994,4,407
995,4,154
996,4,392
997,4,203
998,4,326
999,5,131
1000,4,195
1001,4,257
1002,4,275
1003,3,1575
1004,4,168
1005,4,410
1006,4,329
1007,4,225
1008,4,186
1009,4,121
1010,3,1135
1011,4,296
1012,4,175
1013,4,165
1014,4,159
1015,4,207
1016,3,872
1017,4,203
1018,4,156
1019,3,348
1020,3,1162
1021,4,288
1022,4,257
1023,4,200
1024,4,182
1025,4,137
1026,3,1690
1027,4,187
1028,4,194
1029,4,482
1030,5,108
1031,4,143
1032,4,119
1033,4,338
1034,4,146
1035,2,6993
1036,3,1198
1037,4,245
1038,4,216
1039,4,240
1040,4,114
1041,4,143
1042,3,698
1043,4,215
1044,4,137
1045,3,1528
1046,4,190
1047,4,191
1048,4,143
1049,4,378
1050,4,167
1051,4,227
1052,4,196
1053,3,654
1054,4,131
1055,4,181
1056,4,112
1057,3,482
1058,4,108
1059,3,316
1060,3,960
1061,4,184
1062,4,156
1063,4,174
1064,4,154
1065,3,1211
1066,4,170
1067,4,142
1068,4,205
1069,4,187
1070,4,126
1071,4,277
1072,2,9833
1073,3,1836
1074,4,354
1075,4,368
1076,4,304
1077,4,204
1078,4,426
1079,3,1110
1080,4,172
1081,4,134
1082,4,188
1083,4,256
1084,4,168
1085,3,1342
1086,4,238
1087,4,172
1088,4,275
1089,4,136
1090,4,220
1091,4,144
1092,4,111
1093,3,1027
1094,4,200
1095,4,208
1096,4,140
1097,4,169
1098,3,1141
1099,4,120
1100,4,223
1101,4,111
1102,4,250
1103,4,108
1104,4,174
1105,3,1167
1106,4,119
1107,4,129
1108,4,132
1109,4,230
1110,4,284
1111,4,157
1112,3,1057
1113,4,208
1114,4,235
1115,4,160
1116,4,221
1117,3,1261
1118,4,175
1119,4,118
1120,4,108
1121,4,320
1122,4,153
1123,4,206
1124,2,7237
1125,3,1088
1126,4,232
1127,4,107
1128,4,230
1129,4,189
1130,4,198
1131,3,1068
1132,4,245
1133,4,160
1134,4,164
1135,4,116
1136,4,165
1137,3,943
1138,4,134
1139,4,195
1140,4,171
1141,4,191
1142,4,113
1143,3,828
1144,4,126
1145,4,154
1146,4,114
1147,4,120
1148,4,118
1149,3,897
1150,4,146
1151,4,130
1152,4,140
1153,4,160
1154,4,114
1155,3,783
1156,4,211
1157,4,137
1158,4,116
1159,3,798
1160,4,199
1161,4,107
1162,4,196
1163,3,953
1164,4,202
1165,4,165
1166,4,134
1167,4,109
1168,1,32892
1169,2,5975
1170,3,577
1171,4,150
1172,3,1884
1173,4,589
1174,5,193
1175,5,130
1176,4,409
1177,4,152
1178,4,152
1179,4,182
1180,4,196
1181,4,153
1182,3,503
1183,4,140
1184,3,793
1185,4,120
1186,4,117
1187,4,166
1188,4,169
1189,3,407
1190,3,307
1191,3,699
1192,4,165
1193,4,126
1194,4,209
1195,4,115
1196,3,845
1197,4,241
1198,4,124
1199,4,143
1200,4,201
1201,2,1636
1202,3,417
1203,4,120
1204,3,243
1205,3,131
1206,3,372
1207,3,183
1208,3,196
1209,2,6590
1210,3,1165
1211,4,269
1212,4,189
1213,4,160
1214,4,171
1215,4,132
1216,4,150
1217,3,468
1218,3,811
1219,4,200
1220,4,169
1221,4,156
1222,4,127
1223,3,1159
1224,4,281
1225,4,178
1226,4,144
1227,4,164
1228,4,128
1229,3,958
1230,4,224
1231,4,154
1232,4,114
1233,4,180
1234,4,137
1235,3,836
1236,4,115
1237,4,225
1238,4,191
1239,4,130
1240,3,528
1241,4,126
1242,3,782
1243,4,113
1244,4,116
1245,4,120
1246,4,107
1247,2,5742
1248,3,822
1249,4,228
1250,4,140
1251,3,1398
1252,4,269
1253,4,166
1254,4,203
1255,4,149
1256,4,246
1257,4,195
1258,4,149
1259,3,734
1260,4,191
1261,4,141
1262,4,186
1263,3,638
1264,4,142
1265,4,109
1266,4,121
1267,3,381
1268,3,467
1269,4,108
1270,3,397
1271,3,912
1272,4,262
1273,4,247
1274,4,108
1275,4,108
1276,2,4866
1277,3,748
1278,4,133
1279,4,120
1280,4,127
1281,3,513
1282,4,120
1283,3,362
1284,3,348
1285,3,670
1286,4,132
1287,3,795
1288,4,199
1289,4,234
1290,3,1159
1291,4,129
1292,4,208
1293,4,143
1294,4,117
1295,4,270
1296,4,133
1297,3,373
1298,2,2415
1299,3,363
1300,3,301
1301,3,509
1302,4,111
1303,4,118
1304,3,162
1305,3,301
1306,3,433
1307,3,208
1308,3,186
1309,2,1624
1310,3,236
1311,3,261
1312,3,136
1313,3,126
1314,3,137
1315,3,112
1316,3,524
1317,4,107
1318,4,147
1319,3,119
1320,2,3803
1321,3,1082
1322,4,252
1323,4,207
1324,4,260
1325,4,146
1326,3,490
1327,4,130
1328,3,304
1329,3,378
1330,3,495
1331,3,328
1332,3,579
1333,4,126
1334,3,175
1335,1,32935
1336,2,3153
1337,3,933
1338,4,124
1339,4,134
1340,4,193
1341,4,195
1342,3,346
1343,3,414
1344,4,108
1345,3,442
1346,3,250
1347,3,313
1348,3,288
1349,3,275
1350,2,4360
1351,3,153
1352,3,936
1353,4,198
1354,4,126
1355,4,125
1356,4,155
1357,3,536
1358,4,109
1359,4,140
1360,3,631
1361,4,109
1362,4,121
1363,3,894
1364,4,152
1365,4,161
1366,4,161
1367,4,161
1368,3,474
1369,4,111
1370,3,513
1371,4,120
1372,4,125
1373,3,300
1374,2,1687
1375,3,314
1376,3,252
1377,3,211
1378,3,181
1379,3,276
1380,3,174
1381,3,348
1382,2,3759
